dim_1,dim_2,class_name,split
14.357754,35.636467,calibrador,val
14.198682,10.4375925,calibrador,train
-8.012101,-35.10503,calibrador,train
23.326118,-19.253363,calibrador,train
34.55122,26.56304,calibrador,train
30.129025,-29.554943,calibrador,train
42.268856,23.50897,calibrador,train
9.69149,37.93205,calibrador,train
-3.6924238,-34.756725,calibrador,train
-1.5769715,-35.845768,calibrador,val
-5.942322,-2.5290139,calibrador,train
-0.32366383,32.680267,calibrador,val
4.988047,-14.814997,calibrador,train
4.9510894,-14.7960825,calibrador,train
17.07558,-23.297602,calibrador,test
-0.42654303,32.590824,calibrador,train
7.0286922,-7.6165557,calibrador,train
7.7903404,-7.717892,calibrador,train
8.036729,-7.7863846,calibrador,train
22.788298,-18.563293,calibrador,train
-8.455733,-37.007553,calibrador,train
-8.486479,-37.101364,calibrador,test
-8.503237,-37.13332,calibrador,test
24.830187,-22.84059,calibrador,train
26.998194,-7.973873,calibrador,train
-0.7552329,-31.689627,calibrador,train
-27.208277,-24.530222,calibrador,train
48.58041,31.551699,calibrador,train
48.657444,31.564005,calibrador,val
12.657559,12.800127,calibrador,train
5.441379,22.895962,calibrador,train
30.117056,-29.54957,calibrador,val
42.09043,23.217596,calibrador,val
19.58213,3.3047864,calibrador,train
-3.032863,-35.023884,calibrador,val
4.3741536,4.285031,calibrador,train
-27.523558,-25.196901,calibrador,val
34.530315,20.710993,calibrador,test
34.414013,20.623283,calibrador,train
33.33834,19.802687,calibrador,train
-6.2318635,4.5616117,calibrador,train
34.90642,15.620584,calibrador,val
-24.676006,24.50721,calibrador,test
28.067543,-47.07666,calibrador,test
28.08085,-47.170204,calibrador,train
28.09996,-46.948574,calibrador,test
15.40656,17.389952,calibrador,test
-2.3519163,-35.505013,calibrador,train
14.933715,17.007828,calibrador,train
49.52909,29.529598,calibrador,val
49.56626,29.466743,calibrador,val
-9.235298,36.26467,calibrador,train
49.536427,29.520252,calibrador,train
-28.990599,-27.12426,calibrador,train
37.821053,-11.245356,calibrador,train
37.652504,-11.272149,calibrador,train
41.5403,22.301025,calibrador,val
20.242027,28.923857,calibrador,train
37.127045,-11.342826,calibrador,test
-12.338141,-11.232161,calibrador,train
-11.528996,-3.026801,calibrador,train
35.737896,-16.271482,calibrador,train
33.02884,19.540762,calibrador,test
30.682621,-2.319171,calibrador,train
-2.9266653,18.353214,calibrador,train
5.8140254,-24.559326,calibrador,train
-3.8712459,7.9187107,calibrador,train
40.099205,20.893423,calibrador,train
-14.303289,44.51399,calibrador,val
-14.3246975,44.53936,calibrador,val
18.951859,0.54860216,calibrador,test
-4.7333612,-5.435097,calibrador,train
-4.921319,3.1040542,calibrador,train
19.4254,-17.994667,calibrador,train
-3.1084607,-2.000254,calibrador,train
-3.2903228,-1.6759663,calibrador,train
-3.260042,-2.0109913,calibrador,train
4.7118726,-5.249304,calibrador,train
-4.3336143,-6.801851,calibrador,train
48.9386,-13.639708,calibrador,train
53.2569,13.014977,calibrador,train
53.257248,13.014962,calibrador,test
49.025425,-13.648975,calibrador,test
-2.7652593,13.26407,calibrador,train
34.50521,26.52383,calibrador,val
27.951283,-24.90962,calibrador,test
27.458097,-24.960457,calibrador,test
30.923079,-23.872362,calibrador,val
-13.822685,44.007317,calibrador,train
-49.16176,-19.586563,calibrador,test
21.50679,30.234049,calibrador,train
-15.587344,17.028599,calibrador,train
-27.811472,-25.810324,calibrador,train
48.228344,31.21943,calibrador,test
-17.701876,21.718153,calibrador,train
5.389229,44.01267,calibrador,train
33.800575,25.9295,calibrador,test
42.548954,23.968033,calibrador,train
28.268274,-45.407745,calibrador,train
20.34497,29.025103,calibrador,train
5.1132426,33.023514,calibrador,train
-35.39645,43.802643,calibrador,test
-35.39232,43.803543,calibrador,train
14.632445,15.2566185,calibrador,train
39.438416,-10.804654,calibrador,train
47.824284,31.078566,calibrador,val
17.029541,-54.78887,calibrador,val
27.232576,10.228502,calibrador,train
18.911572,-12.897058,calibrador,train
30.043613,22.94958,calibrador,train
40.032616,20.866442,calibrador,train
-35.415466,43.798077,calibrador,test
-27.923983,-27.363,calibrador,test
-10.893444,9.755145,calibrador,train
22.925783,-1.2291449,cutter,test
-1.9905826,-4.6684723,cutter,train
-50.23628,-5.8529816,cutter,val
4.2343345,-9.953775,cutter,train
13.103774,45.62013,cutter,val
16.60507,-5.7536745,cutter,train
-9.045254,-11.208256,cutter,train
-19.757963,22.60508,cutter,train
8.79184,-20.330488,cutter,train
-30.504251,-37.163986,cutter,val
-39.762802,-1.2591044,cutter,train
-36.752483,-15.663691,cutter,train
38.84024,-24.942125,cutter,train
6.2185993,4.5993123,cutter,val
12.068756,44.384636,cutter,train
0.14155248,5.6914988,cutter,test
7.7334094,9.998716,cutter,train
-3.8294356,-6.696804,cutter,val
8.027867,9.7262745,cutter,train
34.82508,-29.73322,cutter,train
-37.289303,4.531005,cutter,train
46.29882,11.629966,cutter,test
46.348553,11.627238,cutter,train
13.772576,31.922506,cutter,val
13.6719055,-3.8050547,cutter,train
21.60764,-9.078107,cutter,train
21.560835,-9.018277,cutter,train
-23.279554,4.120202,cutter,train
-12.505056,-44.296047,cutter,test
-44.723846,-12.33584,cutter,train
16.45123,-16.411257,cutter,train
5.040614,35.75239,cutter,train
13.914087,41.074177,cutter,test
4.959874,36.196564,cutter,test
-20.593956,-17.493475,cutter,train
11.852522,6.6060414,cutter,train
-0.7047425,-8.210959,cutter,train
22.995792,-2.1608982,cutter,train
-37.168888,28.36843,cutter,test
-56.306923,-7.5711465,cutter,train
-18.118587,-15.751317,cutter,train
-22.147598,-11.242757,cutter,train
6.5000925,-2.5694664,cutter,train
-6.547905,-19.228275,cutter,train
-55.75048,-7.939487,cutter,train
5.6196513,30.758247,cutter,train
-37.17052,28.36608,cutter,test
34.392372,38.617813,cutter,test
34.391277,38.618176,cutter,train
-14.680676,-12.448242,cutter,train
-14.659125,-12.511726,cutter,train
22.282902,2.8340704,cutter,train
-5.6092467,-4.3890953,cutter,train
-5.5348024,-4.126472,cutter,train
37.311066,-23.874954,cutter,train
22.581099,42.80631,cutter,train
3.5473752,-31.379501,cutter,train
16.118118,53.316116,cutter,test
16.13491,53.360966,cutter,train
41.345478,-2.1853707,cutter,train
41.184998,-2.1901376,cutter,train
41.875427,-2.1420786,cutter,val
0.19236796,-1.1673996,cutter,train
-22.839443,3.9140656,cutter,train
15.476078,-16.527975,cutter,train
12.060383,44.48241,cutter,val
-19.889837,-8.058724,cutter,train
4.796744,-32.624374,cutter,val
-9.569012,-11.468605,cutter,test
7.959904,-9.820078,cutter,train
11.590353,29.04755,cutter,val
20.71384,-10.12139,cutter,val
-22.188452,27.236298,cutter,train
-22.196667,27.217707,cutter,val
-43.04681,-1.2528754,cutter,train
-43.037647,-1.2510453,cutter,test
38.786987,-24.903496,cutter,val
0.24106047,-22.89771,cutter,val
0.3222122,-22.494112,cutter,train
-2.17387,7.1268706,cutter,train
22.810535,-2.1001008,cutter,train
2.526051,-3.8568482,cutter,train
15.5075245,9.811676,cutter,train
8.367314,-32.10425,cutter,val
-14.273562,38.62443,cutter,test
-56.270065,-7.6009336,cutter,test
9.464576,8.386953,cutter,train
-55.084595,-8.951364,cutter,train
12.876104,45.733364,cutter,test
15.847076,-5.3142533,cutter,val
16.35179,53.83498,cutter,val
-22.32162,26.894169,cutter,train
-41.853012,-0.9089307,cutter,test
44.383545,11.743942,cutter,test
-7.6521235,4.411641,cutter,train
-10.501565,13.928684,cutter,test
-12.504568,-44.29758,cutter,train
8.744007,3.9543264,cutter,train
21.845959,2.7300513,cutter,train
-16.349644,-7.746325,cutter,test
36.090652,-2.2168262,cutter,train
7.346325,3.8666286,cutter,train
6.237203,8.072705,cutter,train
44.87854,11.7131,cutter,train
11.019317,-19.449059,cutter,train
-23.868755,8.008059,cutter,train
-44.935394,-12.10255,cutter,val
-8.317223,-1.8489714,cutter,train
16.201605,29.178974,cutter,val
-10.73641,1.3074753,cutter,train
-14.284911,34.109375,cutter,train
-37.284363,4.5273085,cutter,train
18.552532,18.064505,cutter,train
7.0569177,10.534493,cutter,train
7.4934464,-17.89382,cutter,train
-20.96542,-8.92865,cutter,train
2.6852617,-23.959288,cutter,test
-21.24302,-17.886251,cutter,test
-1.0795162,11.998537,cutter,train
-21.382889,-17.960688,cutter,train
21.40535,39.46622,cutter,train
21.407295,39.468517,cutter,test
40.46355,-18.417757,cutter,train
40.805115,-18.325504,cutter,train
40.84782,-18.312891,cutter,val
-12.506694,29.750694,cutter,test
-12.50669,29.755634,cutter,train
2.919504,3.0335798,cutter,train
40.713318,31.912674,cutter,test
40.712887,31.911814,cutter,train
24.43528,-15.135587,cutter,train
-2.3247724,3.4017017,cutter,train
13.780722,31.917175,cutter,train
-16.416576,2.7500916,cutter,train
49.624016,19.736958,cutter,val
15.008767,-16.596098,cutter,train
-4.147937,-7.388632,cutter,train
34.82339,-29.733847,cutter,val
7.2999806,-18.054268,cutter,train
15.117743,-4.054669,cutter,train
-15.698678,14.889935,cutter,train
15.645232,-42.805344,cutter,train
3.7107787,11.557131,cutter,train
-22.421925,-9.965363,cutter,test
18.947304,-6.576011,cutter,train
-17.85754,-26.913647,cutter,val
-17.846798,-26.90498,cutter,train
-17.852545,-26.903214,cutter,train
-29.99877,26.439453,cutter,train
22.975037,-1.0627502,cutter,train
12.513282,45.78225,cutter,train
12.661881,45.934494,cutter,train
-54.21802,-8.398533,cutter,val
-54.787052,-9.147318,cutter,test
16.204672,29.175224,cutter,train
11.545244,-9.56765,cutter,train
5.062259,-11.220781,cutter,train
-8.943313,-16.723951,cutter,val
-23.874044,8.015101,cutter,train
-29.971664,-17.999557,cutter,train
11.797471,28.76524,cutter,train
-12.33617,6.6271067,cutter,train
5.787772,-9.874736,cutter,train
18.56673,-15.508366,cutter,train
0.68365633,4.40305,cutter,train
0.38944393,4.927865,cutter,train
0.54782003,4.4175053,cutter,train
-44.326084,-12.471073,cutter,train
49.577858,19.55491,cutter,train
1.5474762,-20.148226,cutter,val
-7.4965734,14.042335,cutter,train
7.6499567,12.247556,cutter,train
1.208299,14.379119,cutter,train
26.802479,7.555467,cutter,train
-21.855513,-9.31976,cutter,train
35.72732,-2.2342296,cutter,train
-50.294388,-5.8855195,cutter,train
36.144394,-2.2194226,cutter,val
38.37316,18.264399,cutter,test
-9.084214,-18.540874,cutter,train
15.545312,-9.97934,cutter,train
1.9591911,-6.3881483,cutter,train
20.91891,-4.8328147,cutter,test
14.487737,-22.209082,cutter,train
29.241665,-20.433966,cutter,train
-6.65143,11.677364,cutter,train
-54.64217,-8.409883,cutter,val
